"","X","Number","site","Unique_tree","Date","Observers","Spp","Live","Code","X.Stems","Diameters","DecayClass","Height","Cones.Brown","Cones.Green","MortalityCause1","MortalityCause2","MortalityCause3","MortalityCause4","MortalityCause5","DMR","PerDeadCrown","Easting","Northing","Age","Cored","Comments","Diameters2","Diameters3","Diameters4","Diameters5","Diameters6","Diameters7","Diameters8","Diameters9","Diameters10","Diameters102","BA_cm","BA_m2_per_ha","ENN_dist","ENN_ID","Neighbor_larger","density_2m","BA_2m","SDI_2m","density_4m","BA_4m","SDI_4m","density_6m","BA_6m","SDI_6m","LiveDead","PDC05","Delta_pdc","Diam","X","cwd_total_10_yr","cwd_normal_cum","cwd_normal_summer","cwd_peak_summer","cwd_peak_anom","vpd_normal_growing_season_avg","vpd_normal_annual_max","vpd_peak_vpd","vpd_peak_anom","avg_summer_tmax","peak_tmax","peak_winter_tmin","avg_ann_ppt","min_ann_ppt","tmean","ppt","Pndjfm","Avg_pdc","Avg_delta_pdc","Weighted_pdc","prop_died","n.died","Cluster","Swness","Slope","Elev","Tpi","Cum_cwd","Percent.Clay","Avg_depth","Pct_pimo","Pct_juos","SDI.Plot","Weighted_pimo","Weighted_juos","avg_ENN","avg_BA","avg_BA_2m","avg_BA_4m","avg_BA_6m","Dens.Plot","avg_height","avg_Diam","fdsi_anom","BA.Plot","AWC","Died","ips","rtb","ptb","pns","psf","ptm","pmb","mt","bb","Neighbor_larger_log","Diam_log","ENN_dist_log","BA_2m_log","BA_4m_log","BA_6m_log"
"1",2,23,"NP342120","NP34212023","7/21/2015","JV,SF,EK","PIMO","Y","",1,"11.1",1.75,2.72,"0","0","PTB","PSF","PNS","IPS","",0,65,NA,NA,1,"","",11.1,15,11.2,NA,NA,NA,NA,NA,NA,NA,96.71985,0.09671985,1.79688417042916,"NP34212022",6.40962584205827,2,665.27965,381.922649426935,3,2788.93365,326.735772902605,3,2788.93365,145.215899067824,"L",5,-60,11.097190716538,30,3986.63715076447,381.020485639572,243.037841796875,292.978820800781,1.20548643221431,12.83222,20.1952,23.8959,1.18324651402313,28.5593334197998,1.134130090277,-3.36999988555908,54.2000443228364,39.6620997819901,8.61999988555908,253.440002441406,27.570091412584,35.6818181818182,-20.7954545454545,-226.998247090846,0.0909090909090909,5,"NP342",0.198115,10.6672,2075.110107,10.2314,296.760986,15.1,15.4,0.555539383353953,0.43980302258448,412.23,-243.340456773527,-195.403308370997,2.04441371071242,515.014980681818,248.1506625,789.404981818182,1854.53047840909,44,3.59363636363636,21.9516221455894,-2.0574730187422,2.266165915,19.653194573943,"N","Y","N","Y","Y","Y","N","N","N","N",1.85780089825518,2.40669198768578,0.58605414853374,6.5002225097352,7.93341818304905,7.93341818304905
"2",5,7,"SPR1575120","SPR15751207","8/10/2015","SF,EK","PIMO","Y","",1,"20",1.44444444444444,6.37,"0","0","PTB","PNS","RTB","IPS","",2,30,NA,NA,1,"","",20,14.6,14.6,17.6,19,14.6,NA,NA,NA,NA,314,0.314,1.981473202951,"SPR15751206",1.7956,1,563.8184,291.642177578471,2,910.0034,122.768384391333,6,2502.28955,152.640346957157,"L",25,-5,19.9949382279963,62,3746.88712406158,362.512110829353,244.306900024414,299.677253723145,1.22664261096677,12.19572,19.2666,22.6433,1.17526185211714,27.6386665980021,1.13464231348333,-3.72000002861023,70.4672195536852,52.0953993096352,8.02000045776367,309.529998779297,35.9636059501807,35.3260869565217,-9.89130434782609,-113.567681500661,0.0869565217391304,6,"SPR1575",0.986768,17.4967,2149.850098,-40.074501,284.381989,9.6,23.8,0.385406839622641,0.596801297169811,678.4,-170.23828596422,-33.0357698945513,1.81884387681032,632.148042391304,357.628422826087,1485.64492391304,3446.62373043478,46,5.27130434782609,25.3393292343359,-1.92908142720123,2.907980995,17.5931887165384,"N","Y","Y","Y","Y","N","N","N","Y","N",0.58533922792564,2.99547915292148,0.683840609938942,6.33474994988387,6.81345932467721,7.82496540808111
"3",6,21,"TOI1596240","TOI159624021","7/29/2015","JV,EK","PIMO","Y","",1,"27.6",1.15789473684211,5.62,"0","0","RTB","PTB","PSF","IPS","",2,65,NA,NA,1,"","",27.6,44.9,NA,NA,NA,NA,NA,NA,NA,NA,597.9816,0.5979816,1.1998574140174,"TOI15962407",0.198605860113422,1,118.76265,83.5587032876102,5,1007.626,159.65973841993,8,5175.88965,289.502168224018,"L",20,-45,27.5930147546349,89,3134.64733028412,303.739129334688,203.471092224121,267.511856079102,1.31474133821644,12.2718,19.616,22.861,1.16542618270799,27.7380000432332,1.13670778850321,-3.25,76.9462520967722,59.3902802252769,8.15999984741211,337.100006103516,40.4174112307072,58.1132075471698,-19.4339622641509,-195.891480585567,0.303030303030303,20,"TOI1596",-0.28572,19.510099,2279.560059,25.173599,264.92099,12.3,31.4,0.819164926931106,0.151127348643006,479,-201.590108666128,NA,1.95920572678259,772.972185027473,524.565750961538,1812.26749450549,4924.67173296703,52,4.35153846153846,26.3948443004883,-1.94585646135633,4.01955536214286,18.5373493892447,"N","Y","Y","Y","N","Y","N","N","Y","N",-1.61643302068946,3.3175626520906,0.182202728081936,4.7772111615689,6.91536227230389,8.55176844843484
"4",7,31,"TOI1577360","TOI157736031","10/3/2015","PW,SF","PIMO","Y","",1,"28.3",1.18918918918919,6.31,"0","0","PMB","RTB","PTB","IPS","",0,60,NA,NA,1,"","",28.3,10.95,8.45,13.5,12.1,NA,NA,NA,NA,NA,628.69865,0.62869865,1.70976137350811,"TOI157736030",0.288616875509435,1,181.45304,117.41386866541,1,181.45304,29.3534671663525,4,1624.65984,99.6236133397162,"L",20,-40,28.2928375926148,86,3175.93288040161,308.264268696308,213.241016387939,267.138854980469,1.25275549472375,12.91598,20.6711,24.0149,1.16176207361969,28.3026666641235,1.13982186570519,-2.49000000953674,71.5177637466997,54.5261796257496,8.68000030517578,317.190002441406,38.3118361027877,61.3917525773196,-20.0515463917526,-197.979426665459,0.364485981308411,39,"TOI1577",0.436857,19.5249,2123.179932,6.60327,179.824997,11.6,20.8,0.605671183126135,0.340880519117703,787.49,-267.435591866839,-83.2793536532767,1.3416721770095,536.884110824742,835.305753298969,2915.74182675258,7099.5359077835,97,4.67491981672394,23.1156203205793,-2.15323705607725,5.207875875,18.8773828311554,"N","Y","Y","Y","N","N","N","Y","N","N",-1.24265516065322,3.34260868401668,0.536353813120812,5.20105199660457,5.20105199660457,7.39305989873631
"5",8,23,"RAV339360","RAV33936023","5/23/2015","SF,JV","PIMO","N","",1,"30.6",1,6.43,NA,NA,"PMB","PTB","RTB","IPS","",0,100,NA,NA,1,"","",30.6,14.4,11.3,NA,NA,NA,NA,NA,NA,NA,735.0426,0.7350426,1.66871926519678,"RAV33936025",0.31963133837413,1,234.94265,144.463450382014,4,693.33555,113.178798439332,5,917.5394,65.8220636909081,"L",30,-70,30.5922554888344,40,4432.43423175812,427.171397686005,266.587501525879,313.826126098633,1.17719744662586,13.32222,20.822,25.275,1.21386034002497,29.8963335037231,1.1362597763526,-3.08999991416931,54.2084257955551,40.6984201865196,8.76000022888184,244.970001220703,29.1032352746725,70.2083333333333,-53.75,-558.364611794705,0.375,21,"RAV339",0.022198,6.96892,1887.670044,0.49585,307.390991,4.6,43,0.579260070790494,0.420318557222316,474.64,-790.807334952478,-203.583613290735,2.01917721378344,502.760288085106,242.776224255319,1071.00346744681,2306.13840404255,47,5.61021276595745,23.1576887301347,-2.13429171683794,2.363073354,10.7245923975298,"Y","Y","Y","Y","N","N","N","Y","N","N",-1.1405870149092,3.42074688832583,0.512056425137204,5.45938400448075,6.54152850406433,6.82170642044115
"6",9,72,"TOI1596120","TOI159612072","7/30/2015","SF,JV","PIMO","Y","",1,"30.7",1.26666666666667,4.68,"0","0","RTB","PTB","PBR","IPS","",2,50,NA,NA,1,"","",30.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,739.85465,0.73985465,0.0734809949791374,"TOI159612084",0.0205413320035226,1,15.1976,16.0485401699369,5,1673.0077,239.830696967737,9,4290.97485,254.922189357112,"L",30,-20,30.6922301799744,88,3134.64733028412,303.739129334688,203.471092224121,267.511856079102,1.31474133821644,12.2718,19.616,22.861,1.16542618270799,27.7380000432332,1.13670778850321,-3.25,76.9462520967722,59.3902802252769,8.15999984741211,337.100006103516,40.4174112307072,40.3947368421053,-22.8289473684211,-280.322123934918,0.159574468085106,15,"TOI1596",-0.017616,23.792601,2250.780029,0.471191,245.602997,14.9,20.8,1,0,687.87,-291.842211219914,NA,1.63758096858163,531.262782519737,612.989642763158,2227.81936203289,5015.50682219079,76,4.68723684210526,23.6712977511322,-1.94585646135633,4.03769714715,18.9111531327053,"N","Y","Y","Y","N","N","N","N","Y","N",-3.88531622733787,3.42400953396064,-2.61072847791119,2.72179530289388,7.42238428072763,8.36427155433975
"7",10,9,"ROB926360","ROB9263609","7/31/2015","SF, EK","PIMO","Y","",1,"31.1",NA,7.4,"3","2","PNS","PSF","PTB","IPS","",0,10,NA,NA,1,"","",31.1,13.4,15.1,NA,NA,NA,NA,NA,NA,NA,759.25985,0.75925985,4.89559659614389,"ROB9263607",0.16675799464439,0,0,NA,0,0,NA,3,1536.5433,90.0020147093333,"L",5,-5,31.0921289445343,48,3199.28099822998,303.548665121198,219.800197601318,274.332450866699,1.24809920036693,11.86146,18.8439,22.5266,1.19543194349365,27.8036664326986,1.13222475958114,-4.78999996185303,68.2614838132381,48.0796599297523,7.6100001335144,297.989990234375,33.8733551584005,20,-13.448275862069,-147.445010927401,0,0,"ROB926",0.926926,7.3854,2185.139893,5.64453,226.395996,9.7,14.2,0.778392291905805,0.221329437545654,287.49,-125.677437206003,-215.857385480366,2.72201441809321,421.169041071429,117.867469642857,564.873944642857,1636.297175,28,4.71178571428571,21.9226053974577,-1.36793361722862,1.179373315,15.4753772585848,"N","Y","N","Y","Y","Y","N","N","N","N",-1.79121165144128,3.43695469855268,1.58833614723695,-4.60517018598809,-4.60517018598809,7.33729707019765
"8",12,15,"ROB926","ROB92615","8/1/2015","EK,JV,SF","PIMO","Y","",1,"74",NA,8.6,"80","30","RTB","PTB","PNS","IPS","",0,25,NA,NA,3,"","",74,9.5,NA,NA,NA,NA,NA,NA,NA,NA,4298.66,4.29866,7.26763413790154,"ROB92616",0.340803506208912,0,0,NA,0,0,NA,0,0,NA,"L",10,-15,73.9812714435864,45,3054.17709445953,287.139559164643,209.07735824585,270.241645812988,1.29254381287531,11.86146,18.8439,22.5266,1.19543194349365,27.8036664326986,1.13222475958114,-4.78999996185303,68.2614838132381,48.0796599297523,7.6100001335144,297.989990234375,33.8733551584005,35,-24,-260.118267746256,0,0,"ROB926",0.999848,16.0217,2170.699951,5.64453,232.738007,9.7,30.8,0.714312096029548,0.283471837488458,162.45,-294.598357548201,-208.398133043338,3.49500659411302,620.2226125,71.5335175,337.629285,827.1603875,20,4.3745,23.9029514388668,-1.36793361722862,1.240545225,15.4753772585848,"N","Y","Y","Y","Y","N","N","N","N","N",-1.07644919590821,4.30381197257166,1.98343081050816,-4.60517018598809,-4.60517018598809,-4.60517018598809
"9",13,22,"DES1014120","DES101412022","5/27/2015","PW,SF,JV,EK","PIMO","N","",1,"7.3",1,1.45,"","","PMB","IPS","PTB","MT","",1,100,NA,NA,1,"","",7.3,13.175,10.95,11.6,13.4,NA,NA,NA,NA,NA,41.83265,0.04183265,1.552340973626,"DES101412020",2.43873146931882,1,102.0186,73.9650021586978,4,531.86105,91.4873377689649,12,1910.79205,140.971281951484,"L",5,-95,7.29815245321866,2,3688.29286670685,352.409096300602,231.049015045166,282.763671875,1.2238254805792,12.59658,19.7938,23.4708,1.18576523962049,29.0463331858317,1.13164022190306,-3.83999991416931,52.3966437747836,38.8823192842007,8.35999965667725,246.320007324219,26.3165166121642,40.4464285714286,-14.0178571428571,-126.832289284137,0.109756097560976,9,"DES1014",-0.949032,13.239,2078.580078,-12.2397,223.692001,12.9,23.6,0.737071048815853,0.261543418720799,620.7,-150.253641229599,-77.3872129548271,1.86945572469165,579.325198660714,236.898000892857,1090.54383258929,2803.53357723214,56,4.89482142857143,23.06822764854,-1.97877960814566,3.2443211125,7.03166021004436,"Y","Y","N","Y","N","N","N","Y","Y","N",0.891478014492208,1.98762122752184,0.439764097131914,4.6252531661386,6.27640107274307,7.5552783543643
"14",44,19,"FC795240","FC79524019","6/7/2015","SF, JV ","PIMO","Y","",2.57142857142857,"7.8",2.8,1.39,"","",NA,NA,NA,NA,NA,0,0,NA,NA,1,"","",7.8,22.6714285714286,17.95,13.4,NA,NA,NA,NA,NA,NA,47.7594,0.0477594,2.59188950632181,"FC79524051",11.7174556213018,0,0,NA,3,1786.25965,228.516769921534,6,4394.51635,239.849930109004,"L",0,0,7.79802590891857,27,3578.82793807983,339.311673909426,226.234310150146,272.05305480957,1.20252783332915,11.84158,18.8877,23.3301,1.23520068616083,27.4480000178019,1.13523753378034,-4.07999992370605,67.591685920608,43.0758600387573,7.69000005722046,286.140014648438,30.9105300113042,40.7954545454545,-2.38636363636364,-31.2214230708106,0.24,12,"FC795",0.453777,15.4549,2159.600098,12.6445,283.417999,10.4,15.2,0.0339116903781355,0.937517549606889,1709.44,-56.1972280189446,-25.5284577336814,2.37937108534505,1353.55502173913,593.179618478261,2752.25675869565,6161.74316304348,46,2.31152173913043,35.0483973747028,-1.58871686926396,6.2264531,17.8621971573905,"N","N","N","N","N","N","N","N","N","N",2.46107966342132,2.05387061306304,0.952387148847528,-4.60517018598809,7.48788472988336,8.38811503411825
