"","plot","year","Pndjfm","VPDaso","VPDmjj","logP","vpdtot","stdP","stdVPD","fdsi"
"1","SS452",1896,28.9636200532913,39.3503,8.7244,3.36604056154561,24.03735,-0.214338105101191,0.253276939454206,-0.23614385233888
"2","SS452",1897,42.1208197383881,37.5673,5.6328,3.74054214905142,21.60005,1.22751829708593,-1.18448438117189,1.20341930417407
"3","SS452",1898,25.557479970932,40.4837,8.7678,3.24093003196221,24.62575,-0.696022092777306,0.600373628846731,-0.642458952976184
"4","SS452",1899,39.3471399612427,42.4907,7.4137,3.67242329016966,24.9522,0.965256090288694,0.79294622274916,-0.0193372050125048
"5","SS452",1900,19.5580002422333,35.779,12.1311,2.97338442227546,23.95505,-1.72609075756744,0.20472823527847,-0.874127745085617
"6","SS452",1901,36.0375195446014,33.2315,7.9276,3.58456060530503,20.57955,0.626978820146413,-1.78647651496705,1.27629752924597
"7","SS452",1902,29.8500796318054,37.5662,7.2266,3.39618750756723,22.3964,-0.0982703270787824,-0.714718153099599,0.357003221821111
"8","SS452",1903,36.1797606201172,40.9365,7.1593,3.58849986358587,24.0479,0.642145230547828,0.259500376016227,0.137223690871957
"9","SS452",1904,38.6765797529221,42.2014,9.8123,3.65523424250073,26.00685,0.89907709597786,1.41508341423085,-0.396852789739015
"10","SS452",1905,24.102060087204,37.7498,10.0095,3.18229731764018,23.87965,-0.921762002415266,0.160249835584052,-0.495315188989786
"11","SS452",1906,44.5211206588745,40.1609,8.291,3.79596369812276,24.22595,1.44089500365702,0.364531928610274,0.429855921587336
"12","SS452",1907,53.3120603294373,37.9021,8.4071,3.97616257817334,23.1546,2.13467286077718,-0.267456579514603,1.08903174327014
"13","SS452",1908,33.9470999031067,35.3215,8.599,3.52480342776708,21.96025,0.396909651191594,-0.972002689263005,0.718961752511584
"14","SS452",1909,34.4119202470779,35.3045,7.8123,3.53840302316598,21.5584,0.449269011865202,-1.20905368285985,0.874748427622207
"15","SS452",1910,36.032439912796,38.697,9.8859,3.58441964139019,24.29145,0.626436099554901,0.403170326222802,0.0498565011193874
"16","SS452",1911,38.8442200775146,39.1672,8.1731,3.65955929039196,23.67015,0.915728822431844,0.0366659531439866,0.382387748109379
"17","SS452",1912,28.7146995639801,35.8404,10.0361,3.35740917157582,22.93825,-0.247569539367168,-0.395081271475976,0.112314914704993
"18","SS452",1913,20.962620174408,33.5993,9.0415,3.04274085996094,21.3204,-1.45906378880153,-1.34944969250537,0.113703760730334
"19","SS452",1914,40.3275803585052,38.7977,10.8809,3.69703561101565,24.8393,1.06001518762875,0.72634660304757,0.0596525848500111
"20","SS452",1915,16.6319196414948,40.4142,9.068,2.81132371898408,24.7411,-2.35003540928405,0.66841850158879,-1.4083299409747
"21","SS452",1916,42.5450004844665,41.2738,7.5976,3.75056235068868,24.4357,1.26609675005888,0.488263285850387,0.283655129949689
"22","SS452",1917,26.474419883728,35.2976,6.0973,3.27617897939577,20.69745,-0.560311264778107,-1.7169273992645,0.71494238708575
"23","SS452",1918,30.0202602567673,41.7868,9.4481,3.40187249561368,25.61745,-0.076382739189693,1.18537666567638,-0.697419338022236
"24","SS452",1919,27.9603202834129,37.8059,7.8236,3.33078637235769,22.81475,-0.350069114208668,-0.467933822699595,0.108012530459959
"25","SS452",1920,28.0568398885727,38.845,8.8546,3.33423244853796,23.8498,-0.336801488199294,0.142641344458341,-0.22807180770436
"26","SS452",1921,32.9285598449707,35.6358,10.1485,3.4943403616017,22.89215,0.279624789267929,-0.422275624604793,0.359509257056573
"27","SS452",1922,41.1810188179016,39.7418,5.8515,3.71797744189344,22.79665,1.14064265072115,-0.478610998223057,0.76990492532222
"28","SS452",1923,25.7835398159027,40.4804,8.0489,3.24973629669263,24.26465,-0.662117378873504,0.387361027657678,-0.508253822192641
"29","SS452",1924,22.0649804553986,36.0391,8.8027,3.0939917569472,22.4209,-1.26174437440432,-0.700265622694914,-0.163018776028748
"30","SS452",1925,29.9135796318054,38.9903,9.2038,3.39831254558125,24.09705,-0.0900887872198696,0.288493921705625,-0.201195662531892
"31","SS452",1926,21.8694005813599,34.2284,10.576,3.08508842605334,22.4022,-1.29602279959232,-0.711296737738489,-0.171923858687067
"32","SS452",1927,37.1195608139038,39.0302,8.0862,3.61414407632602,23.5582,0.74087718136462,-0.0293732623174223,0.342434986698189
"33","SS452",1928,30.4012603778839,37.6207,10.1328,3.41448406735155,23.87675,-0.0278273363327894,0.158539127903497,-0.101025939612386
"34","SS452",1929,26.360120174408,41.8285,7.8863,3.27185226859235,24.8574,-0.576969393556333,0.73702377857103,-0.666599849164563
"35","SS452",1930,23.4822994670868,41.1894,9.0361,3.15624692317528,25.11275,-1.022057780302,0.887654539339861,-0.946791965363203
"36","SS452",1931,19.6189598207474,36.4806,9.4895,2.97649643646001,22.98505,-1.71410929280098,-0.367473988907028,-0.548422655044497
"37","SS452",1932,40.8330395736694,39.5488,5.4638,3.70949154717658,22.5063,1.10797138300427,-0.649888230998582,0.851444817881083
"38","SS452",1933,26.5658600387573,38.6812,5.9858,3.27962693426149,22.3335,-0.547036405702866,-0.751822812791629,0.180324756654051
"39","SS452",1934,23.6296199321747,43.816,13.3771,3.16250100694652,28.59655,-0.997979135441177,2.94274537296609,-2.08704822845513
"40","SS452",1935,34.6557601356506,42.416,8.5621,3.54546394950108,25.48905,0.476454055083395,1.10963360837182,-0.411755036451527
"41","SS452",1936,37.9450596027374,41.1768,7.7903,3.63613931362121,24.48355,0.825560330301085,0.516489962579538,0.0740121662879361
"42","SS452",1937,36.2813604021072,38.6036,5.7539,3.59130412184567,22.17875,0.652941814221113,-0.84310971402122,0.759435838109173
"43","SS452",1938,37.6199406394959,42.4194,7.1085,3.62753424597413,24.76395,0.792430238755083,0.681897698313158,-0.0331934060031322
"44","SS452",1939,26.0070603294373,38.1931,7.501,3.25836805229035,22.84705,-0.628884536915277,-0.448880078533419,-0.0253363522640074
"45","SS452",1940,30.6095401792526,39.3165,8.8014,3.4213117309318,24.05895,-0.00154037047310985,0.266018762178339,-0.149648269828038
"46","SS452",1941,30.9956204166412,40.798,9.3258,3.43384591762209,25.0619,0.0467170947247195,0.857658165010139,-0.459733050726801
"47","SS452",1942,34.9173803100586,31.1788,6.4368,3.55298470839951,18.8078,0.505409484723171,-2.83163042290586,1.80809321010548
"48","SS452",1943,37.7875806007385,39.4416,8.564,3.63198049310333,24.0028,0.809548590459896,0.232895922087602,0.225779663433297
"49","SS452",1944,27.0535403003693,40.4648,6.5138,3.29781787659424,23.4893,-0.477000049277833,-0.070017317210598,-0.170670324044312
"50","SS452",1945,44.8411602325439,41.1931,6.7714,3.80312647281443,23.98225,1.46847216992594,0.220773493523672,0.522494598394157
"51","SS452",1946,34.3433395252228,37.3125,8.764,3.53640809958263,23.03825,0.441588421351067,-0.336091351456856,0.382510062210309
"52","SS452",1947,24.5948202228546,35.7455,10.9481,3.20253586072088,23.3468,-0.843842244835088,-0.154077953237848,-0.285006933914244
"53","SS452",1948,26.6471402034759,37.8968,8.1115,3.28268183541573,23.00415,-0.535274829959948,-0.356206914183376,-0.0360450532396866
"54","SS452",1949,31.9938402519226,39.2195,5.751,3.46554339214332,22.48525,0.168754512178645,-0.662305609162609,0.445143126489665
"55","SS452",1950,28.1279601840973,38.946,8.5267,3.33676410597621,23.73635,-0.327054436097842,0.0757172801966455,-0.186305628793172
"56","SS452",1951,36.8045999031067,39.5076,8.5835,3.60562283473039,24.04555,0.708069825777528,0.258114112895776,0.167006820120478
"57","SS452",1952,45.3948807945251,38.8095,5.9302,3.81539934085982,22.36985,1.51572354069392,-0.730379976864676,1.07593114494954
"58","SS452",1953,20.4470002422333,44.0021,11.3261,3.0178361843078,27.6641,-1.554948471892,2.39269386374777,-2.02408589133123
"59","SS452",1954,26.2178803100586,40.2119,9.5733,3.26644163258321,24.8926,-0.597800707574638,0.757788230417763,-0.687393720366788
"60","SS452",1955,22.0522799224854,37.6633,6.9818,3.09341599439281,22.32255,-1.26396109912029,-0.758282209033722,-0.131504846554044
"61","SS452",1956,39.4588994913101,41.3153,8.7219,3.67525961098382,25.0186,0.976176116961436,0.832115529641857,-0.0364672051364081
"62","SS452",1957,24.5313205862045,39.1498,8.6697,3.19995069237796,23.90975,-0.853795317533094,0.178005801509806,-0.475353188560053
"63","SS452",1958,36.0705398159027,38.0123,8.1331,3.58547646058951,23.0727,0.630504924839841,-0.315769324010268,0.45425298837528
"64","SS452",1959,20.0837796802521,42.8351,9.982,2.99991250819853,26.40855,-1.623955835308,1.65204592294766,-1.63968628438621
"65","SS452",1960,22.8066599903107,36.3049,8.1524,3.12705259814427,22.22865,-1.13445790317957,-0.813673743931677,-0.0435041807972694
