,"attr(bootstrap_juos$t0, ""names"")",R,original,bootBias,bootSE,bootMed,lo,hi,mean
1,(Intercept),5000,-10.18991066,0.000845034,0.631676646,-10.20025199,-11.41324442,-8.931086659,-10.18906563
2,avg_summer_tmax,5000,-4.674057107,0.080862097,0.717887238,-4.599559786,-6.006995769,-3.186562812,-4.59319501
3,AWC,5000,0.911912726,-0.027871553,0.432575874,0.889561525,0.013768043,1.724233077,0.884041173
4,fdsi_anom,5000,-2.453502537,-0.032482655,0.506538807,-2.483391277,-3.503155771,-1.508959205,-2.485985191
5,BA_4m_log,5000,-1.009224079,-0.012140715,0.501297779,-1.02181156,-1.974735827,-0.024364458,-1.021364794
6,Diam_log,5000,-1.251925504,-0.062057128,0.699304707,-1.307136036,-2.694107103,0.049880174,-1.313982631
7,ENN_dist_log,5000,0.183551062,-0.037326946,0.608679911,0.142825141,-1.020996977,1.344017933,0.146224116
8,Height,5000,-1.462106196,-0.040054291,0.857131043,-1.498719341,-3.190587135,0.12215788,-1.502160487
9,Neighbor_larger_log,5000,-0.443596434,-0.043752255,0.575327068,-0.490049064,-1.626385654,0.659724519,-0.487348689
10,ENN_dist_log:Neighbor_larger_log,5000,0.833240115,-0.011918168,0.502937358,0.820199182,-0.15755766,1.81157419,0.821321948
