"","(Intercept)","Avg_depth","avg_summer_tmax","AWC","BA_4m_log","cwd_normal_cum","cwd_peak_anom","Diam_log","ENN_dist_log","fdsi_anom","Height","min_ann_ppt","Neighbor_larger_log","peak_tmax","Pndjfm","ppt","tmean","vpd_normal_annual_max","vpd_peak_anom","df","logLik","AICc","delta","weight"
"1",0.303584595337591,NA,NA,NA,-0.0322198774621735,NA,NA,-0.0482654177611285,0.0099823889134622,NA,-0.0615027214062025,NA,-0.0179759245699374,NA,NA,NA,NA,NA,NA,9,-1391.25818399301,2800.64989914328,0,0.41788628191359
"3",0.318668194496851,NA,-0.118077124382622,NA,-0.0328385341475174,NA,NA,-0.0466817040292868,0.0110698102149065,NA,-0.0604601733880777,NA,-0.0159128317161668,NA,NA,NA,NA,NA,NA,10,-1391.28556443107,2802.73445477156,2.08455562828158,0.147367803806557
"513",0.322916811225702,NA,NA,NA,-0.0335900009623749,NA,NA,-0.0447500714173581,0.0118298263709671,NA,-0.0638179515800076,NA,-0.0156100323401796,NA,NA,0.100150041387113,NA,NA,NA,10,-1391.85171214963,2803.8667502087,3.2168510654169,0.0836619111467583
"65",0.321887056981904,NA,NA,NA,-0.0336728373004622,NA,NA,-0.044403146760746,0.011871174698846,NA,-0.0644424111613804,0.0916692443240495,-0.0156047281044071,NA,NA,NA,NA,NA,NA,10,-1392.03658791438,2804.23650173819,3.58660259490762,0.0695404115834328
"257",0.321992868348307,NA,NA,NA,-0.0336688408670476,NA,NA,-0.0448136819707855,0.0117763018477901,NA,-0.0641432186025254,NA,-0.0158020322569453,NA,0.086925797933214,NA,NA,NA,NA,10,-1392.15865248127,2804.48063087196,3.83073172868308,0.0615496076631696
"9",0.313529755446301,NA,NA,NA,-0.0322319539296758,-0.0775903430868634,NA,-0.0488249276053071,0.0108454982425726,NA,-0.0594869729146042,NA,-0.0176087671022438,NA,NA,NA,NA,NA,NA,10,-1392.20924475896,2804.58181542735,3.93191628406566,0.0585131315881732
"2049",0.309524475707266,NA,NA,NA,-0.0314703228504201,NA,NA,-0.0479005969734078,0.0101665470853213,NA,-0.0608541879686913,NA,-0.0176535161646179,NA,NA,NA,NA,-0.0721001438146344,NA,10,-1392.44186195353,2805.04704981649,4.39715067320776,0.0463691332445788
"17",0.317869277729686,NA,NA,NA,-0.0323607505137325,NA,0.0682477437852588,-0.0472633122857415,0.0114523211537987,NA,-0.0619324950620676,NA,-0.0172128068627306,NA,NA,NA,NA,NA,NA,10,-1392.50326630754,2805.16985852452,4.51995938123537,0.0436075217228867
"35",0.331221110565017,NA,-0.181307091243588,NA,-0.0335817190148513,NA,NA,-0.046245527806284,0.0120006857529963,-0.0992094214963672,-0.0622973092820064,NA,-0.0163309357341999,NA,NA,NA,NA,NA,NA,11,-1391.51109647838,2805.21832965809,4.56843051481337,0.0425633725979499
"1025",0.306330416035881,NA,NA,NA,-0.0318718842567408,NA,NA,-0.0482266424900739,0.0101355972437906,NA,-0.0610706239730701,NA,-0.0178812337961777,NA,NA,NA,-0.0417103911014756,NA,NA,10,-1392.91324274078,2805.98981139098,5.33991224769807,0.0289408247329031
