"","(Intercept)","Avg_depth","avg_summer_tmax","AWC","BA_4m_log","cwd_normal_cum","cwd_peak_anom","Diam_log","ENN_dist_log","fdsi_anom","Height","min_ann_ppt","Neighbor_larger_log","peak_tmax","Pndjfm","ppt","tmean","vpd_normal_annual_max","vpd_peak_anom","df","logLik","AICc","delta","weight"
"2058",-22.8172214382207,-3.81101795865266,NA,NA,-1.04795355691842,-8.01631007263651,NA,-2.90127812189463,1.30665823914856,NA,1.82565282437306,NA,-0.289268323978696,NA,NA,NA,NA,-5.06845227403939,NA,12,-10513.3363750407,21050.8082843995,0,0.418936710369162
"1034",-22.7673653730768,-3.87672234258618,NA,NA,-1.0571292948233,-8.12433041751198,NA,-2.89231508103171,1.30196151423405,NA,1.81849965189121,NA,-0.28476882957488,NA,NA,NA,-4.26831293945498,NA,NA,12,-10514.0083627567,21052.1522598314,1.3439754319661,0.213947817812892
"42",-23.0956275415233,-3.97728647813402,NA,NA,-1.06374509363475,-8.21347108637649,NA,-2.90029000645302,1.29159137612183,3.2103249240453,1.84298896713236,NA,-0.270473703811416,NA,NA,NA,NA,NA,NA,12,-10514.5122679784,21053.1600702748,2.35178587534392,0.12926013465901
"4106",-23.0983576892926,-4.01226509547863,NA,NA,-1.06774011699226,-9.50958304146089,NA,-2.90474330215925,1.29379552269616,NA,1.85112298481191,NA,-0.270162154796217,NA,NA,NA,NA,NA,2.32909489024818,12,-10514.9359828039,21054.0074999258,3.19921552635788,0.0846150457120636
"138",-23.0222935226307,-4.07751280682671,NA,NA,-1.06503537006303,-9.67304439007122,NA,-2.89510159439446,1.30151117655459,NA,1.84690182053834,NA,-0.265702569480549,0.936025261002362,NA,NA,NA,NA,NA,12,-10515.4970079428,21055.1295502036,4.32126580410841,0.0482833585214668
"10",-23.0672236428018,-4.15391077606852,NA,NA,-1.06266398721136,-9.8783253484502,NA,-2.89195872277553,1.29873926950806,NA,1.83911881978293,NA,-0.266527640300679,NA,NA,NA,NA,NA,NA,11,-10517.1648529023,21056.4443388919,5.63605449245006,0.0250204280460963
"14",-23.0694056843839,-4.19059236318265,NA,-0.0844057818154292,-1.06292223414766,-9.88366881430543,NA,-2.89156805396921,1.29749061100174,NA,1.83961735153623,NA,-0.264898123162541,NA,NA,NA,NA,NA,NA,12,-10516.1584711796,21056.4524766771,5.64419227761391,0.0249188294490829
"6153",-22.2649646051604,NA,NA,NA,-1.03980913112464,-8.28890599706073,NA,-2.8013379949335,1.28716712378342,NA,1.74459853308686,NA,-0.272623051771239,NA,NA,NA,NA,-5.89420465744844,0.0792649507332434,12,-10516.3000377566,21056.7356098312,5.92732543170496,0.0216294787980616
"2185",-22.273861543344,NA,NA,NA,-1.03764704273994,-8.32094074480904,NA,-2.80095215526388,1.28581825933289,NA,1.73979570689604,NA,-0.274528772046895,-0.680708686962546,NA,NA,NA,-6.24470738642526,NA,12,-10516.414309779,21056.964153876,6.15586947654083,0.0192938254722046
"2066",-22.2115557040647,-3.72909517633569,NA,NA,-1.07073721871477,NA,4.55200365718416,-2.8672409328122,1.32163523097769,NA,1.78659892077311,NA,-0.290452788193303,NA,NA,NA,NA,-7.12144166844798,NA,12,-10516.7283193909,21057.5921730997,6.78388870021809,0.0140943711599602
